book,chapter,verse,text
genesis,1,1,"In the beginning, God made the heavens and the earth."
genesis,1,2,"But the earth was unseen and unprepared, and darkness was upon the deep. And the spirit of God rushed upon the water."
genesis,1,3,"And God said, ""Let light come into being."" And light came into being."
genesis,1,4,"And God saw the light, that it was good. And God made a separation between the light and the darkness."
genesis,1,5,"And God named the light day and the darkness he named night. And there was evening, and there was morning, the first day."
genesis,1,6,"And God said, ""Let a firmament come into being in the midst of the water, and let a separator be in the midst of the water."" And so it happened."
genesis,1,7,"And God made the firmament, and God made a separation in the midst of the water that was under the firmament and in the midst of the water that was upon the firmament."
genesis,1,8,"And God named the firmament heaven. And God saw that is was good. And there was evening, and there was morning, the second day."
genesis,1,9,"And God said, ""Let the water that is under the heavens be gathered together into one assembly, and let the dryness appear."" And so it happened. And the water under the heavens was brought together into their assembly, and the dryness appeared."
genesis,1,10,"And God named the dryness earth, and the assemblies of the waters he named seas. And God saw that it was good."
genesis,1,11,"And God said, ""Let the earth sprout fodder plants, sowing seed according to kind and according to likeness, and fruit-bearing tree making fruit whose seed is itself in the tree, according to kind in regard to likeness upon the earth."" And so it happened."
genesis,1,12,"And the earth brought forth fodder plants, sowing seed according to kind and according to likeness, and the fruit-bearing tree making fruit whose seed is itself in the tree, corresponding to its kind upon the earth. And God saw that it was good."
genesis,1,13,"And there was evening, and there was morning, the third day."
genesis,1,14,"And God said, ""Let luminaries come into being in the firmament of the heavens for illumination of the earth and rule the days and the nights and make a separation in the midst of the day and in the midst of the night. And let them be for a sign and for seasons and for days and for years."
genesis,1,15,"And let them be for illumination in the firmament of the heavens so that they might give light upon the earth."" And so it happened."
genesis,1,16,"And God made the two big luminaries, the big luminary to have authority over the day, and the little luminary to have authority over the night and the stars."
genesis,1,17,And God placed them in the firmament of the heavens so that they might shine upon the earth
genesis,1,18,and rule over the day and the night and to make a separation in the midst of the light and in the midst of the darkness. And God saw that it was good.
genesis,1,19,"And there was evening, and there was morning, the fourth day."
genesis,1,20,"And God said, ""Let the water bring forth living, creeping things and birds flying above the earth in relation to the firmament of the heavens."" And so it happened."
genesis,1,21,And God made the very large fish and every life of living creeping things that the water brought forth according to their kind and every bird with wings according to kind. And God saw that it was good.
genesis,1,22,"And God blessed them, saying, ""Increase and multiply and fill the waters in the seas, and let the birds multiply upon the earth."""
genesis,1,23,"And there was evening, and there was morning, the fifth day."
genesis,1,24,"And God said, ""Let the earth bring forth a living creature according to kind, quadrupeds and creeping things and wild animals of the earth according to kind."" And so it happened."
genesis,1,25,And God made the wild animals of the earth according to kind and the livestock according to kind and all the creeping things of the earth according to their kind. And God saw that it was good.
genesis,1,26,"And God said, ""Let us make humankind according to our image and according to our likeness, and let them rule over the fish of the sea and the birds of the heavens and the livestock and all the earth and all the creeping things that creep upon the earth."""
